date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:18	149/149	---M-Z	200	added ('OK')	text/plain	etag:%22318ebf56125fd31:0%22	http://gafcontractor.chameleonpower.com/robots.txt		(from )
18:44:19	30657/30657	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Oct%202018%2023:44:19%20GMT	http://gafcontractor.chameleonpower.com/	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/index.html	(from )
18:44:19	34050/34050	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2023:44:20%20GMT	http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/css/release5c94.css	(from http://gafcontractor.chameleonpower.com/)
18:44:19	8053/8053	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4a4f-1f75%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.css	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.css	(from http://gafcontractor.chameleonpower.com/)
18:44:20	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://gafcontractor.chameleonpower.com/)
18:44:20	30724/30724	---M-Z	200	added ('OK')	text/css	etag:W/%2257d97c08-7804%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css	(from http://gafcontractor.chameleonpower.com/)
18:44:20	655/655	---M--	200	added ('OK')	image/svg+xml	etag:%226989bf55125fd31:0%22	http://gafcontractor.chameleonpower.com/img/FB.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/FB.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:21	655/655	---M--	200	added ('OK')	image/svg+xml	etag:%221c13c955125fd31:0%22	http://gafcontractor.chameleonpower.com/img/FB_Active.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/FB_Active.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:21	1042/1042	---M--	200	added ('OK')	image/svg+xml	etag:%227412e855125fd31:0%22	http://gafcontractor.chameleonpower.com/img/Twitter.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/Twitter.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:21	1042/1042	---M--	200	added ('OK')	image/svg+xml	etag:%227412e855125fd31:0%22	http://gafcontractor.chameleonpower.com/img/Twitter_Active.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/Twitter_Active.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:22	1008/1008	---M--	200	added ('OK')	image/svg+xml	etag:%2241d7ec55125fd31:0%22	http://gafcontractor.chameleonpower.com/img/Pinterest.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/Pinterest.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:22	1008/1008	---M--	200	added ('OK')	image/svg+xml	etag:%22a5b0c655125fd31:0%22	http://gafcontractor.chameleonpower.com/img/Pinterest_Active.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/Pinterest_Active.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:22	1098/1098	---M--	200	added ('OK')	image/svg+xml	etag:%226989bf55125fd31:0%22	http://gafcontractor.chameleonpower.com/img/Email.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/Email.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:22	1098/1098	---M--	200	added ('OK')	image/svg+xml	etag:%221c13c955125fd31:0%22	http://gafcontractor.chameleonpower.com/img/Email_Active.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/Email_Active.svg	(from http://gafcontractor.chameleonpower.com/)
18:44:28	267194/267194	---MCZ	200	added ('OK')	application/x-javascript	etag:%22b2cb3e56125fd31:0%22	http://gafcontractor.chameleonpower.com/js/lib/jquery-3.1.1.js	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/js/lib/jquery-3.1.1.js	(from http://gafcontractor.chameleonpower.com/)
18:44:29	14923/14923	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a02f4156125fd31:0%22	http://gafcontractor.chameleonpower.com/js/lib/jquery-migrate-3.0.0.js	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/js/lib/jquery-migrate-3.0.0.js	(from http://gafcontractor.chameleonpower.com/)
18:44:31	520714/520714	---MCZ	200	added ('OK')	application/x-javascript	etag:%22a8243956125fd31:0%22	http://gafcontractor.chameleonpower.com/js/lib/jquery-ui-1.12.1.js	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/js/lib/jquery-ui-1.12.1.js	(from http://gafcontractor.chameleonpower.com/)
18:44:33	74087/74087	---M--	200	added ('OK')	image/jpeg	etag:%22a5b0c655125fd31:0%22	http://gafcontractor.chameleonpower.com/img/good.jpg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/good.jpg	(from http://gafcontractor.chameleonpower.com/)
18:44:36	556100/556100	---MCZ	200	added ('OK')	application/x-javascript	etag:%22cdf5156125fd31:0%22	http://gafcontractor.chameleonpower.com/js/lib/lodash-4.17.2.js	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/js/lib/lodash-4.17.2.js	(from http://gafcontractor.chameleonpower.com/)
18:44:38	87584/87584	---M--	200	added ('OK')	image/jpeg	etag:%223e76ea55125fd31:0%22	http://gafcontractor.chameleonpower.com/img/bad.jpg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/bad.jpg	(from http://gafcontractor.chameleonpower.com/)
18:44:41	4379/4379	---M-Z	200	added ('OK')	application/javascript	etag:%227218caf3b0d5d31:0%22	https://ca.chameleonpower.com/stats.js	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/ca.chameleonpower.com/stats.js	(from http://gafcontractor.chameleonpower.com/)
18:44:48	832478/832478	---M--	200	added ('OK')	image/svg+xml	etag:%22474ec455125fd31:0%22	http://gafcontractor.chameleonpower.com/img/logo.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/logo.svg	(from http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41)
18:44:50	2131/2131	---M--	200	added ('OK')	image/svg+xml	etag:%221b0e555125fd31:0%22	http://gafcontractor.chameleonpower.com/img/balls.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/balls.svg	(from http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41)
18:44:50	341/341	---M--	200	added ('OK')	image/svg+xml	etag:%226989bf55125fd31:0%22	http://gafcontractor.chameleonpower.com/img/empty-heart.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/empty-heart.svg	(from http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41)
18:44:50	344/344	---M--	200	added ('OK')	image/svg+xml	etag:%223e76ea55125fd31:0%22	http://gafcontractor.chameleonpower.com/img/full-heart.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/full-heart.svg	(from http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41)
18:44:50	429540/429540	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Oct%202018%2023:44:33%20GMT	http://gafcontractor.chameleonpower.com/js/release?v=ouYgB0oILyXBI0mSYq3FdGNpxel6wUBVBlJ5dfUR9MU1	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/js/release7a4f	(from http://gafcontractor.chameleonpower.com/)
18:44:50	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Oct%202018%2023:44:51%20GMT	http://gafcontractor.chameleonpower.com/img/close.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/close.1a.delayed	(from http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41)
18:44:58	753813/753813	---M--	200	added ('OK')	image/svg+xml	etag:%22a6a0bac028d7d31:0%22	http://gafcontractor.chameleonpower.com/img/lowes.svg	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/lowes.svg	(from http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41)
18:45:00	7006/7006	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b5e%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css)
18:45:01	7001/7001	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b59%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css)
18:45:02	6313/6313	---M--	200	added ('OK')	image/png	etag:%2257d97c08-18a9%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css)
18:45:03	43178/43178	---MC-	200	added ('OK')	text/javascript	date:Mon,%2001%20Oct%202018%2017:56:18%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/www.google-analytics.com/analytics.js	(from http://gafcontractor.chameleonpower.com/)
18:45:03	4632/4632	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css)
18:45:04	4632/4632	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css)
18:45:04	7013/7013	---M--	200	added ('OK')	image/png	etag:%2257d97c08-1b65%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.min.css)
18:46:11	927447/927447	---M--	200	added ('OK')	image/png	etag:%227412e855125fd31:0%22	http://gafcontractor.chameleonpower.com/img/landing.png	C:/My%20Web%20Sites/Virtual%20Home%20Remodeler/gafcontractor.chameleonpower.com/img/landing.png	(from http://gafcontractor.chameleonpower.com/css/release?v=k8owk-frAJluyQr74P-8RwAAv9kFaARrDhtYJZrqNg41)
